Windgeschwindigkeit;Windrichtung;Temperatur;relative Feuchte;Niederschlag;Luftdruck;Strahlung
1.0;135;19.2;88.5;0.0;1008.9;20.4
1.5;191;19.3;88.4;0.0;1008.8;21.6
0.9;157;19.3;88.4;0.0;1008.9;23.0
1.0;202;19.3;88.3;0.0;1008.8;24.2
0.7;180;19.3;88.2;0.0;1008.9;25.2
0.7;157;19.3;88.1;0.0;1008.9;26.3
1.2;213;19.4;88.0;0.0;1008.9;27.4
1.0;258;19.4;88.0;0.0;1008.9;29.0
0.8;202;19.4;88.0;0.0;1008.9;30.1
0.6;135;19.5;87.8;0.0;1008.9;31.4
0.6;281;19.5;87.8;0.0;1008.9;33.2
1.1;191;19.5;87.6;0.0;1008.9;34.6
1.0;157;19.6;87.6;0.0;1008.9;36.2
1.0;213;19.6;87.4;0.0;1008.9;37.7
0.9;123;19.6;87.3;0.0;1008.9;39.4
0.8;225;19.7;87.1;0.0;1008.9;41.3
0.7;225;19.7;87.0;0.0;1008.9;43.1
1.7;213;19.8;86.8;0.0;1008.9;44.9
1.8;213;19.8;86.6;0.0;1008.9;46.6
1.2;270;19.9;86.6;0.0;1009.0;48.6
1.4;168;19.9;86.5;0.0;1009.0;50.2
1.2;225;19.9;86.2;0.0;1009.0;51.4
1.5;191;20.0;86.2;0.0;1009.0;53.1
1.3;180;20.0;85.9;0.0;1009.0;55.5
1.2;191;20.0;85.4;0.0;1009.0;57.1
1.3;157;20.0;85.5;0.0;1008.9;58.1
1.0;135;20.0;85.3;0.0;1009.0;59.9
1.1;157;19.9;85.3;0.0;1008.9;61.8
1.5;168;19.9;85.4;0.0;1008.9;62.9
1.4;180;19.9;85.5;0.0;1009.0;63.7
0.9;135;19.8;85.8;0.0;1009.0;65.1
0.8;180;19.8;85.8;0.0;1009.0;64.4
1.7;202;19.8;85.9;0.0;1008.9;53.6
1.0;191;19.8;86.0;0.0;1008.9;42.3
1.3;202;19.8;86.1;0.0;1008.9;43.7
1.7;180;19.7;86.3;0.0;1008.9;45.1
1.4;213;19.7;86.5;0.0;1008.9;46.8
1.4;168;19.7;86.7;0.0;1008.9;49.5
2.1;202;19.7;86.7;0.0;1009.0;52.4
0.8;180;19.6;86.9;0.0;1009.0;55.0
1.5;202;19.6;87.2;0.0;1009.0;59.5
1.3;168;19.6;87.0;0.0;1009.0;62.6
1.0;202;19.6;87.3;0.0;1009.0;63.9
1.6;180;19.6;87.2;0.0;1009.0;76.2
1.4;202;19.6;87.4;0.0;1009.1;114.6
1.6;168;19.6;87.5;0.0;1009.0;127.0
1.0;180;19.7;87.4;0.0;1009.0;131.6
1.7;180;19.7;87.1;0.0;1009.1;136.5
1.4;168;19.8;87.0;0.0;1009.0;136.2
2.5;213;19.9;86.5;0.0;1009.1;138.5
1.2;168;19.9;86.5;0.0;1009.1;142.5
1.9;202;20.0;86.3;0.0;1009.1;141.6
1.8;213;20.1;85.9;0.0;1009.0;99.3
0.9;135;20.1;85.8;0.0;1009.1;108.1
2.8;213;20.2;85.4;0.0;1009.0;83.2
1.4;180;20.2;85.3;0.0;1009.0;73.5
0.8;180;20.2;85.5;0.0;1009.0;70.5
1.7;180;20.2;85.3;0.0;1009.0;68.8
1.1;191;20.2;85.3;0.0;1009.1;68.5
0.9;236;20.2;85.3;0.0;1009.0;67.3
0.8;225;20.2;85.3;0.0;1009.1;68.1
1.1;258;20.2;85.4;0.0;1009.0;70.2
1.6;247;20.2;85.4;0.0;1009.1;71.7
0.7;247;20.2;85.4;0.0;1009.0;71.8
1.7;258;20.2;85.6;0.0;1009.1;71.7
1.9;191;20.2;85.7;0.0;1009.0;70.5
2.8;213;20.2;85.7;0.0;1009.0;70.2
2.1;191;20.2;85.8;0.0;1009.1;70.0
2.1;247;20.2;85.6;0.0;1009.0;70.4
1.1;247;20.2;85.6;0.0;1009.1;71.9
1.1;213;20.2;85.7;0.0;1009.0;75.2
1.6;225;20.2;85.5;0.0;1009.1;80.6
1.0;213;20.2;85.6;0.0;1009.0;87.2
1.6;213;20.2;85.5;0.0;1009.1;93.3
1.7;225;20.2;85.4;0.0;1009.1;96.1
1.3;213;20.2;85.6;0.0;1009.1;98.1
1.3;202;20.2;85.5;0.0;1009.1;106.8
1.6;202;20.3;85.4;0.0;1009.1;138.2
1.5;258;20.3;85.0;0.0;1009.1;122.7
0.7;180;20.3;84.9;0.0;1009.0;107.4
2.0;191;20.3;84.7;0.0;1009.1;111.2
1.0;180;20.4;84.6;0.0;1009.0;111.5
1.1;202;20.4;84.4;0.0;1009.1;111.1
1.2;168;20.5;84.1;0.0;1009.0;109.5
1.4;213;20.5;83.8;0.0;1009.0;105.9
1.4;157;20.5;83.8;0.0;1009.1;103.0
2.0;168;20.6;83.4;0.0;1009.0;100.9
1.7;225;20.6;83.3;0.0;1009.1;178.9
2.0;202;20.6;82.6;0.0;1009.1;147.7
1.2;191;20.6;82.9;0.0;1009.1;99.2
1.7;191;20.6;83.0;0.0;1009.1;167.6
1.9;202;20.6;82.9;0.0;1009.1;236.0
1.3;225;20.6;83.0;0.0;1009.2;239.7
1.3;247;20.6;83.2;0.0;1009.1;240.8
1.2;202;20.7;82.8;0.0;1009.1;241.9
1.6;168;20.8;82.6;0.0;1009.1;243.2
0.7;225;20.9;82.6;0.0;1009.2;243.9
2.0;213;21.0;81.7;0.0;1009.1;243.1
2.2;247;21.0;81.5;0.0;1009.2;245.8
1.3;225;21.1;81.3;0.0;1009.1;251.8
2.3;225;21.2;81.0;0.0;1009.1;253.5
2.0;236;21.2;80.5;0.0;1009.1;255.8
1.7;213;21.2;80.7;0.0;1009.1;259.5
2.3;213;21.3;80.4;0.0;1009.2;264.8
2.1;202;21.3;80.4;0.0;1009.1;267.5
1.7;213;21.4;80.6;0.0;1009.2;270.4
1.4;225;21.4;80.0;0.0;1009.1;273.7
2.5;213;21.4;79.8;0.0;1009.2;282.4
1.2;202;21.5;79.8;0.0;1009.2;290.0
2.1;213;21.5;79.7;0.0;1009.2;301.6
1.7;191;21.6;79.2;0.0;1009.2;311.6
2.3;191;21.6;79.6;0.0;1009.2;320.2
1.9;213;21.7;79.0;0.0;1009.2;325.0
1.0;213;21.7;79.2;0.0;1009.2;328.4
1.3;157;21.8;78.7;0.0;1009.2;328.2
1.4;157;22.0;78.5;0.0;1009.2;321.1
0.8;247;22.1;78.3;0.0;1009.2;293.5
1.7;202;22.2;77.3;0.0;1009.2;249.2
1.6;258;22.3;77.0;0.0;1009.2;312.3
2.5;225;22.3;76.6;0.0;1009.2;343.0
2.8;213;22.3;76.7;0.0;1009.1;347.1
1.7;180;22.3;76.6;0.0;1009.2;351.5
1.8;225;22.2;77.1;0.0;1009.2;265.5
2.8;191;22.2;77.2;0.0;1009.2;307.5
1.3;213;22.1;77.1;0.0;1009.1;179.9
1.8;213;22.1;77.5;0.0;1009.1;154.9
2.1;168;22.1;78.0;0.0;1009.1;190.2
1.7;157;22.1;77.6;0.0;1009.1;278.4
1.5;213;22.0;77.3;0.0;1009.2;360.8
2.2;213;22.0;77.6;0.0;1009.2;322.8
2.4;213;22.0;77.5;0.0;1009.1;309.6
1.7;236;22.0;78.0;0.0;1009.2;343.3
1.3;247;22.0;78.4;0.0;1009.2;350.8
1.2;258;22.1;78.4;0.0;1009.2;352.6
1.3;191;22.2;78.1;0.0;1009.2;353.7
1.5;247;22.3;77.5;0.0;1009.2;347.1
1.7;202;22.4;76.6;0.0;1009.1;348.4
0.9;123;22.5;76.7;0.0;1009.1;344.8
1.1;236;22.6;76.2;0.0;1009.1;343.6
1.7;191;22.6;76.4;0.0;1009.1;342.8
2.1;213;22.6;76.3;0.0;1009.2;348.9
1.7;236;22.6;76.1;0.0;1009.1;348.4
1.2;168;22.7;76.5;0.0;1009.2;332.8
1.3;213;22.7;76.4;0.0;1009.2;348.5
2.4;168;22.8;76.1;0.0;1009.2;354.6
1.6;236;22.8;75.6;0.0;1009.2;357.5
0.8;213;22.8;76.0;0.0;1009.2;359.8
0.8;247;22.9;76.0;0.0;1009.3;363.1
1.0;236;23.0;75.2;0.0;1009.3;363.6
1.1;202;23.1;75.1;0.0;1009.3;363.6
1.7;213;23.2;74.6;0.0;1009.3;362.4
1.8;236;23.1;74.3;0.0;1009.3;365.5
2.3;213;23.2;74.7;0.0;1009.3;368.9
1.2;247;23.2;74.8;0.0;1009.3;372.8
0.0;225;23.2;74.9;0.0;1009.4;371.8
0.9;247;23.2;74.5;0.0;1009.4;349.6
1.9;146;23.3;74.1;0.0;1009.4;314.4
1.0;180;23.3;74.1;0.0;1009.4;310.9
0.6;112;23.4;73.9;0.0;1009.4;256.1
1.4;247;23.5;73.5;0.0;1009.3;250.4
1.0;123;23.5;73.5;0.0;1009.4;354.7
0.4;101;23.7;73.4;0.0;1009.5;364.3
1.2;168;23.8;72.3;0.0;1009.4;323.2
1.0;135;23.8;72.3;0.0;1009.4;360.8

1.5;146;23.9;72.0;0.0;1009.4;429.3
1.0;135;23.9;71.9;0.0;1009.4;430.3
1.1;180;24.0;71.2;0.0;1009.4;425.5
0.6;225;24.0;71.5;0.0;1009.4;427.5
1.7;247;24.1;71.4;0.0;1009.4;429.8
1.8;168;24.1;71.7;0.0;1009.4;435.3
1.0;135;24.2;71.0;0.0;1009.4;437.4
